# This is a data file of electric field over a plane
# Variables: N=20, Top=4, Right=0, Bottom=-4, Left=0, cycles=100000, Length=1

# X	Y	Ex	Ey
0.95	0.25	-21.9238	-7.54856
0.95	0.3	-14.3752	-1.75155
0.95	0.35	-12.6237	-6.57136
0.95	0.4	-6.05231	2.18465
0.95	0.45	-8.23695	-8.23695
0.95	0.5	-5.2693e-16	6.98962
0.95	0.55	-6.98962	-13.0419
0.95	0.6	6.05231	14.6528
0.95	0.65	-8.60054	-22.9758
0.95	0.7	14.3752	28.3775
0.95	0.75	-14.0023	-42.261
0.95	0.8	28.2587	51.7168
0.95	0.85	-23.4581	-73.0057
0.95	0.9	49.5476	72.5253
0.95	0.95	-22.9778	-102.978

