# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
1.5	3	4	-0.0201979	0.0360695	-0.352641
1.5	3	4.5	-0.0285402	0.0363236	-4.89131
1.5	3.5	0.5	0.160131	-0.385583	-1.63762
1.5	3.5	1	0.214415	-0.43261	-1.00126
1.5	3.5	1.5	0.197564	-0.34668	-0.675832
1.5	3.5	2	0.152678	-0.236711	-0.486071
1.5	3.5	2.5	0.102206	-0.136055	-0.395924
1.5	3.5	3	0.0541471	-0.0484304	-0.385533
1.5	3.5	3.5	0.011643	0.0283398	-0.460768
1.5	3.5	4	-0.0195923	0.0879603	-0.352387
1.5	3.5	4.5	-0.0268913	0.096369	-4.92763
1.5	4	0.5	0.127318	-0.857101	-1.68465
1.5	4	1	0.166817	-0.715232	-0.915331
1.5	4	1.5	0.150992	-0.449367	-0.565863
1.5	4	2	0.115176	-0.232453	-0.385415
1.5	4	2.5	0.0763262	-0.068272	-0.308299
1.5	4	3	0.039794	0.0665626	-0.308763
1.5	4	3.5	0.00733811	0.19448	-0.401147
1.5	4	4	-0.0169362	0.322604	-0.343978
1.5	4	4.5	-0.0226118	0.424035	-5.024
1.5	4.5	0.5	0.0737896	-5.08034	-1.54278
1.5	4.5	1	0.0939886	-3.53756	-0.649465
1.5	4.5	1.5	0.0833844	-2.8881	-0.348949
1.5	4.5	2	0.062794	-2.53915	-0.221234
1.5	4.5	2.5	0.0412709	-2.31791	-0.173465
1.5	4.5	3	0.0212721	-2.14445	-0.180845
1.5	4.5	3.5	0.00338905	-1.9636	-0.273023
1.5	4.5	4	-0.0103205	-1.69058	-0.242548
1.5	4.5	4.5	-0.0136315	-1.44803	-5.44803

2	0.5	0.5	0.0256858	1.13337	-1.51321
2	0.5	1	0.0381457	1.00143	-0.658459
2	0.5	1.5	0.0398707	0.728734	-0.369396
2	0.5	2	0.0361635	0.496451	-0.242747
2	0.5	2.5	0.0303079	0.314934	-0.193447
2	0.5	3	0.0236156	0.163549	-0.198959
2	0.5	3.5	0.0164835	0.0212898	-0.283584
2	0.5	4	0.00937936	-0.120548	-0.282188
2	0.5	4.5	0.00349697	-0.188014	-5.1894
2	1	0.5	0.0455746	0.417836	-1.64515
2	1	1	0.0685943	0.479613	-0.931156
2	1	1.5	0.0723701	0.392659	-0.601679
2	1	2	0.06595	0.273621	-0.424264
2	1	2.5	0.0553146	0.161342	-0.344831
2	1	3	0.0430241	0.0621916	-0.341219
2	1	3.5	0.0299691	-0.0246295	-0.425422
2	1	4	0.0171074	-0.0911858	-0.349654
2	1	4.5	0.00652499	-0.101395	-5.00139
2	1.5	0.5	0.0584529	0.168421	-1.58337
