# This  a data file of potential over a plane
# Variables:  Top=1, Right=2, Bottom=3, Left=4, Front=-2, Back=-1, cycles=10000
  
9 29  1.32528
9 30  1.31271
9 31  1.29608
9 32  1.27516
9 33  1.2496
9 34  1.21902
9 35  1.18294
9 36  1.14081
9 37  1.09198
9 38  1.03571
9 39  0.971137
9 40  0.897336
9 41  0.813285
9 42  0.717923
9 43  0.610213
9 44  0.489246
9 45  0.354405
9 46  0.205575
9 47  0.0435073
9 48  -0.131728
9 49  -0.286359
9 50  -1
  
10 0  -2
10 1  -0.843061
10 2  -0.587362
10 3  -0.387114
10 4  -0.200286
10 5  -0.0264461
10 6  0.133493
10 7  0.279244
10 8  0.411068
10 9  0.52959
10 10  0.635652
10 11  0.7302
10 12  0.814202
10 13  0.888601
10 14  0.954283
10 15  1.01206
10 16  1.06265
10 17  1.10672
10 18  1.14482
10 19  1.17744
10 20  1.20501
10 21  1.22785
10 22  1.24628
10 23  1.2605
10 24  1.2707
10 25  1.27698
10 26  1.27943
10 27  1.27805
10 28  1.27282
10 29  1.26365
10 30  1.2504
10 31  1.2329
10 32  1.21089
10 33  1.18407
10 34  1.15207
10 35  1.11445
10 36  1.0707
10 37  1.02026
10 38  0.962457
10 39  0.896591
10 40  0.821895
10 41  0.737578
10 42  0.64287
10 43  0.53708
10 44  0.419697
10 45  0.290512
10 46  0.149766
10 47  -0.00158715
10 48  -0.163563
10 49  -0.302864
10 50  -1
  
11 0  -2
11 1  -0.858598
11 2  -0.617503
11 3  -0.430177
11 4  -0.254125
11 5  -0.0887518
11 6  0.0649529
11 7  0.20647
11 8  0.335746
11 9  0.453075
11 10  0.558987
11 11  0.654149
11 12  0.739303
11 13  0.815202
11 14  0.882587
11 15  0.942156
11 16  0.994553
11 17  1.04036
11 18  1.0801
11 19  1.11423
11 20  1.14314
11 21  1.16716
11 22  1.18658
11 23  1.2016
11 24  1.2124
11 25  1.2191
11 26  1.22176
11 27  1.2204
11 28  1.21501
11 29  1.20548
11 30  1.19171
11 31  1.17352
11 32  1.15066
11 33  1.12287
11 34  1.0898
11 35  1.05105
11 36  1.00618
11 37  0.954665
11 38  0.895964
11 39  0.829483
11 40  0.754615
11 41  0.670762
11 42  0.577385
11 43  0.474056
11 44  0.360539
11 45  0.236887
11 46  0.103536
11 47  -0.0384971
11 48  -0.189364
11 49  -0.316153
11 50  -1
  
12 0  -2
12 1  -0.871258
12 2  -0.642184
12 3  -0.465705
12 4  -0.298963
12 5  -0.141191
12 6  0.00662542
12 7  0.143849
12 8  0.270233
12 9  0.385846
12 10  0.490985
12 11  0.586107
12 12  0.671761
12 13  0.748544
12 14  0.817065
12 15  0.877916
12 16  0.931661
12 17  0.978819
12 18  1.01986
12 19  1.05521
12 20  1.08522
12 21  1.11023
12 22  1.13047
12 23  1.14618
12 24  1.15751
12 25  1.16457
12 26  1.16744
12 27  1.16613
12 28  1.16062
12 29  1.15085
12 30  1.13668
12 31  1.11796
12 32  1.09448
12 33  1.06598
12 34  1.03215
12 35  0.992629
12 36  0.947027
12 37  0.894905
12 38  0.835799
12 39  0.769228
12 40  0.694718
12 41  0.611831
12 42  0.520206
12 43  0.419608
12 44  0.30999
12 45  0.191566
12 46  0.0648728
12 47  -0.0690784
12 48  -0.210582
12 49  -0.327029
12 50  -1
  
13 0  -2
13 1  -0.881706
13 2  -0.66263
13 3  -0.49531
13 4  -0.336606
13 5  -0.185593
13 6  -0.0432147
13 7  0.0898385
13 8  0.213205
13 9  0.326799
13 10  0.430756
13 11  0.525367
13 12  0.611033
13 13  0.688216
13 14  0.757412
13 15  0.819121
13 16  0.873828
13 17  0.921992
13 18  0.964036
13 19  1.00034
13 20  1.03125
13 21  1.05705
13 22  1.07799
13 23  1.09428
13 24  1.10605
13 25  1.11344
13 26  1.1165
13 27  1.11526
13 28  1.1097
13 29  1.09975
13 30  1.08531
13 31  1.06623
13 32  1.04231
13 33  1.01332
13 34  0.978987
13 35  0.938997
13 36  0.893004
13 37  0.840636
13 38  0.78151
13 39  0.715239
13 40  0.641461
13 41  0.559866
13 42  0.470227
13 43  0.372449
13 44  0.266612
13 45  0.153026
13 46  0.0322713
13 47  -0.0946746
13 48  -0.228238
13 49  -0.336045
13 50  -1
  
14 0  -2
14 1  -0.890418
14 2  -0.679727
14 3  -0.52018
14 4  -0.368419
14 5  -0.223381
14 6  -0.0859549
14 7  0.0431545
14 8  0.163519
14 9  0.274955
14 10  0.377477
14 11  0.471256
14 12  0.556575
14 13  0.633789
14 14  0.703297
14 15  0.765516
14 16  0.820865
14 17  0.869744
14 18  0.912532
14 19  0.949574
14 20  0.98118
14 21  1.00762
14 22  1.02913
14 23  1.04589
14 24  1.05805
14 25  1.06572
14 26  1.06897
14 27  1.06781
14 28  1.06224
14 29  1.05219
14 30  1.03757
14 31  1.01825
14 32  0.994057
14 33  0.964774
14 34  0.930162
14 35  0.889946
14 36  0.84383
14 37  0.791501
14 38  0.732644
14 39  0.666953
14 40  0.594159
14 41  0.514048
14 42  0.426497
14 43  0.331508
14 44  0.229246
14 45  0.120077
14 46  0.00459228
14 47  -0.116277
14 48  -0.24307
14 49  -0.343597
14 50  -1
  
15 0  -2
15 1  -0.897738
15 2  -0.694129
15 3  -0.541209
15 4  -0.395449
15 5  -0.255673
15 6  -0.122712
15 7  0.00273552
15 8  0.120206
15 9  0.229451
15 10  0.330405
15 11  0.423146
15 12  0.507868
15 13  0.584838
15 14  0.654376
15 15  0.716832
15 16  0.77256
15 17  0.821913
15 18  0.865225
15 19  0.902809
15 20  0.934946
15 21  0.961885
15 22  0.98384
15 23  1.00099
15 24  1.01347
15 25  1.02139
15 26  1.0248
15 27  1.02374
15 28  1.0182
15 29  1.00811
15 30  0.993411
15 31  0.973967
15 32  0.949628
15 33  0.920208
15 34  0.885494
15 35  0.845249
15 36  0.799219
15 37  0.747143
15 38  0.688765
15 39  0.623846
15 40  0.552189
15 41  0.473657
15 42  0.388204
15 43  0.295899
15 44  0.196962
15 45  0.0917874
15 46  -0.019038
15 47  -0.134631
15 48  -0.255626
15 49  -0.349974
15 50  -1
  
16 0  -2
16 1  -0.903928
16 2  -0.706328
16 3  -0.559075
16 4  -0.418506
16 5  -0.283351
16 6  -0.154387
16 7  -0.0322953
16 8  0.0824446
16 9  0.189544
16 10  0.288879
16 11  0.380465
16 12  0.464423
16 13  0.540953
16 14  0.610312
16 15  0.672789
16 16  0.728688
16 17  0.778316
16 18  0.821971
16 19  0.859932
16 20  0.892455
16 21  0.91977
16 22  0.942074
16 23  0.959533
16 24  0.972278
16 25  0.980406
16 26  0.983979
16 27  0.983024
16 28  0.977533
16 29  0.967465
16 30  0.952746
16 31  0.933268
16 32  0.908896
16 33  0.879467
16 34  0.844793
16 35  0.804671
16 36  0.758885
16 37  0.707219
16 38  0.649463
16 39  0.585437
16 40  0.514998
16 41  0.43807
16 42  0.35466
16 43  0.264887
16 44  0.169004
16 45  0.067418
16 46  -0.0392972
16 47  -0.150303
16 48  -0.266315
16 49  -0.355394
16 50  -1
  
17 0  -2
17 1  -0.909181
17 2  -0.716699
17 3  -0.574302
17 4  -0.438225
17 5  -0.307118
17 6  -0.181709
17 7  -0.0626609
17 8  0.0495438
17 9  0.154592
17 10  0.252321
17 11  0.342698
17 12  0.425792
17 13  0.501751
17 14  0.570778
17 15  0.633114
17 16  0.68902
17 17  0.738765
17 18  0.782612
17 19  0.820813
17 20  0.853601
17 21  0.881186
17 22  0.903751
17 23  0.92145
17 24  0.934407
17 25  0.942714
17 26  0.946431
17 27  0.945585
17 28  0.940174
17 29  0.930161
17 30  0.915483
17 31  0.896045
17 32  0.871728
17 33  0.842388
17 34  0.807864
17 35  0.76798
17 36  0.722552
17 37  0.671402
17 38  0.614361
17 39  0.551292
17 40  0.482099
17 41  0.406748
17 42  0.325287
17 43  0.237867
17 44  0.144761
17 45  0.0463818
17 46  -0.0567159
17 47  -0.163734
17 48  -0.275452
17 49  -0.360019
17 50  -1
  
18 0  -2
18 1  -0.913651
18 2  -0.725534
18 3  -0.587301
18 4  -0.455105
18 5  -0.327533
18 6  -0.205271
18 7  -0.0889578
18 8  0.0209237
18 9  0.124047
18 10  0.220225
18 11  0.30939
18 12  0.391571
18 13  0.466875
18 14  0.535465
18 15  0.597542
18 16  0.653331
18 17  0.703068
18 18  0.746987
18 19  0.785316
18 20  0.818267
18 21  0.846033
18 22  0.868783
18 23  0.886662
18 24  0.899786
18 25  0.908241
18 26  0.912088
18 27  0.911353
18 28  0.906037
18 29  0.89611
18 30  0.881517
18 31  0.862176
18 32  0.837981
18 33  0.808807
18 34  0.774514
18 35  0.734949
18 36  0.689958
18 37  0.639391
18 38  0.583116
18 39  0.521027
18 40  0.453065
18 41  0.379229
18 42  0.299595
18 43  0.214337
18 44  0.123738
18 45  0.0282082
18 46  -0.0717137
18 47  -0.175266
18 48  -0.283281
18 49  -0.363978
18 50  -1
  
19 0  -2
19 1  -0.917453
19 2  -0.733059
19 3  -0.598393
19 4  -0.469543
19 5  -0.345046
19 6  -0.225551
19 7  -0.111677
19 8  -0.00390051
19 9  0.0974454
19 10  0.192156
19 11  0.280141
19 12  0.361398
19 13  0.436005
19 14  0.504091
19 15  0.565826
19 16  0.621405
19 17  0.671037
19 18  0.714934
19 19  0.753299
19 20  0.786329
19 21  0.814201
19 22  0.837073
19 23  0.855079
19 24  0.868329
19 25  0.876906
19 26  0.880867
19 27  0.880241
19 28  0.875031
19 29  0.865213
19 30  0.850739
19 31  0.831537
19 32  0.807514
19 33  0.778561
19 34  0.744554
19 35  0.705363
19 36  0.660857
19 37  0.610911
19 38  0.555418
19 39  0.494302
19 40  0.427528
19 41  0.35512
19 42  0.277176
19 43  0.193881
19 44  0.105527
19 45  0.0125187
19 46  -0.0846243
19 47  -0.185169
19 48  -0.289993
19 49  -0.367367
19 50  -1
  
20 0  -2
20 1  -0.920681
20 2  -0.739452
20 3  -0.607832
20 4  -0.481855
20 5  -0.360019
20 6  -0.242941
20 7  -0.131223
20 8  -0.0253326
20 9  0.0743938
20 10  0.167742
20 11  0.254602
20 12  0.334954
20 13  0.40885
20 14  0.476395
20 15  0.537734
20 16  0.593038
20 17  0.642494
20 18  0.686293
20 19  0.724624
20 20  0.757664
20 21  0.78558
20 22  0.808518
20 23  0.826606
20 24  0.839946
20 25  0.848619
20 26  0.852681
20 27  0.852159
20 28  0.847061
20 29  0.837367
20 30  0.823034
20 31  0.804001
20 32  0.780185
20 33  0.751489
20 34  0.717807
20 35  0.679024
20 36  0.635027
20 37  0.585712
20 38  0.530995
20 39  0.470818
20 40  0.405168
20 41  0.334087
20 42  0.257685
20 43  0.176159
20 44  0.0898003
20 45  -0.000992558
20 46  -0.0957146
20 47  -0.193659
20 48  -0.295738
20 49  -0.370266
20 50  -1
  
21 0  -2
21 1  -0.923406
21 2  -0.744854
21 3  -0.615818
21 4  -0.492293
21 5  -0.372741
21 6  -0.257757
21 7  -0.147926
21 8  -0.043707
21 9  0.0545632
21 10  0.146664
21 11  0.232475
21 12  0.311961
21 13  0.385155
21 14  0.452145
21 15  0.513056
21 16  0.568042
21 17  0.61727
21 18  0.660915
21 19  0.699152
21 20  0.732148
21 21  0.760056
21 22  0.783015
21 23  0.801144
21 24  0.814544
