  
12 20  0.18358
12 21  0.0680219
12 22  -0.0607388
12 23  -0.202002
12 24  -0.321794
12 25  -1
  
13 0  -2
13 1  -0.851481
13 2  -0.604994
13 3  -0.415556
13 4  -0.241938
13 5  -0.0844737
13 6  0.0552338
13 7  0.17631
13 8  0.278522
13 9  0.362076
13 10  0.427426
13 11  0.475126
13 12  0.50571
13 13  0.519623
13 14  0.517177
13 15  0.498549
13 16  0.463804
13 17  0.41295
13 18  0.346032
13 19  0.263247
13 20  0.165092
13 21  0.0525176
13 22  -0.0728264
13 23  -0.210297
13 24  -0.326016
13 25  -1
  
14 0  -2
14 1  -0.852721
14 2  -0.607552
14 3  -0.419556
14 4  -0.247508
14 5  -0.0917017
14 6  0.0463276
14 7  0.165784
14 8  0.26651
14 9  0.348775
14 10  0.413082
14 11  0.460019
14 12  0.490144
14 13  0.503912
14 14  0.501639
14 15  0.483499
14 16  0.449544
14 17  0.399761
14 18  0.334162
14 19  0.252899
14 20  0.156412
14 21  0.0455878
14 22  -0.0779817
14 23  -0.213698
14 24  -0.327702
14 25  -1
  
15 0  -2
15 1  -0.850916
15 2  -0.604277
15 3  -0.415386
15 4  -0.243116
15 5  -0.0877279
15 6  0.0493775
15 7  0.167583
15 8  0.266915
15 9  0.347808
15 10  0.4109
15 11  0.456874
15 12  0.486352
15 13  0.499823
15 14  0.497613
15 15  0.479873
15 16  0.446613
15 17  0.397748
15 18  0.333188
15 19  0.25296
15 20  0.157359
15 21  0.0471312
15 22  -0.0762423
15 23  -0.212205
15 24  -0.326842
15 25  -1
  
16 0  -2
16 1  -0.845712
16 2  -0.594554
16 3  -0.402317
16 4  -0.228066
16 5  -0.071986
16 6  0.0647662
16 7  0.181894
16 8  0.279748
16 9  0.359042
16 10  0.420635
16 11  0.465371
16 12  0.493974
16 13  0.506988
16 14  0.504745
16 15  0.487367
16 16  0.454784
16 17  0.40679
16 18  0.343126
16 19  0.263596
16 20  0.168247
16 21  0.0575738
16 22  -0.0671418
16 23  -0.205413
16 24  -0.323198
16 25  -1
  
17 0  -2
17 1  -0.836363
17 2  -0.577104
17 3  -0.378837
17 4  -0.200884
17 5  -0.0432319
17 6  0.0934232
17 7  0.209324
17 8  0.305325
17 9  0.382559
